movement_id,date_id,vessel_key,vessel_id,vessel_category,terminal_id,container_count,move_duration,route_geometry,terminal_name,regional_hub,shift,fiscal_year,quarter,month,build_year,vessel_age,suez_period,terminal_total_movements,utilization,load_segment,regional_avg_duration,pct_above_regional,global_avg_duration,pct_above_global,month_name,year_month
275,2024-11-26,Tanker_304,304,Tanker,957,325,28.77061880178511,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Sherry Jones,APAC,Night,2024,4,11,1984,,Post-Suez,26,0.84,Normal,509.19575666156277,-94.3,499.53,-94.2,Nov 2024,2024-11
135,2022-02-01,Passenger_217,217,Passenger,374,844,833.7471775451735,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Diamond Newman,EMEA,Night,2022,1,2,1908,,Post-Suez,31,1.0,Normal,495.1797462581356,68.4,499.53,66.9,Feb 2022,2022-02
23,2024-01-18,Tanker_640,640,Tanker,529,602,13.02370655939422,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tara Walker,APAC,Night,2024,1,1,1982,,Post-Suez,45,1.45,High Load,509.19575666156277,-97.4,499.53,-97.4,Jan 2024,2024-01
944,2022-06-08,Passenger_892,892,Passenger,705,304,88.43409430613525,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Mercedes Miller,EMEA,Day,2022,2,6,1927,,Post-Suez,33,1.06,Normal,495.1797462581356,-82.1,499.53,-82.3,Jun 2022,2022-06
944,2022-06-08,Passenger_892,892,Passenger,705,304,88.43409430613525,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Mercedes Miller,EMEA,Day,2022,2,6,2018,8.0,Post-Suez,33,1.06,Normal,495.1797462581356,-82.1,499.53,-82.3,Jun 2022,2022-06
513,2022-11-02,Container_926,92,Container,99,567,16.95300169559999,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Kayla Mitchell,APAC,Day,2022,4,11,1911,,Post-Suez,34,1.1,Normal,509.19575666156277,-96.7,499.53,-96.6,Nov 2022,2022-11
402,2023-03-23,Passenger_120,120,Passenger,197,129,880.2787425208221,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tammy Strong,EMEA,Day,2023,1,3,2003,23.0,Post-Suez,47,1.52,High Load,495.1797462581356,77.8,499.53,76.2,Mar 2023,2023-03
930,2022-11-16,Container_297,297,Container,930,338,44.69548847133365,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Regina White,EMEA,Day,2022,4,11,1992,34.0,Post-Suez,39,1.26,Normal,495.1797462581356,-91.0,499.53,-91.1,Nov 2022,2022-11
224,2023-07-15,Container_180,180,Container,350,735,372.6798144841057,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Jason Gonzalez,EMEA,Day,2023,3,7,1924,,Post-Suez,36,1.16,Normal,495.1797462581356,-24.7,499.53,-25.4,Jul 2023,2023-07
403,2023-11-26,Tanker_705,705,Tanker,627,852,216.9923699368877,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Jones,LATAM,Night,2023,4,11,1935,,Post-Suez,37,1.19,Normal,494.18812107674495,-56.1,499.53,-56.6,Nov 2023,2023-11
847,2024-07-11,Container_796,796,Container,369,220,341.66101283795314,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Seth Jackson,APAC,Night,2024,3,7,1923,,Post-Suez,25,0.81,Normal,509.19575666156277,-32.9,499.53,-31.6,Jul 2024,2024-07
847,2024-07-11,Container_796,796,Container,369,220,341.66101283795314,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Seth Jackson,APAC,Night,2024,3,7,1924,,Post-Suez,25,0.81,Normal,509.19575666156277,-32.9,499.53,-31.6,Jul 2024,2024-07
632,2024-07-17,Container_457,457,Container,529,911,290.5926144659744,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Tara Walker,APAC,Day,2024,3,7,1956,,Post-Suez,45,1.45,High Load,509.19575666156277,-42.9,499.53,-41.8,Jul 2024,2024-07
399,2024-07-12,Container_997,997,Container,272,606,887.8717257907718,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Lauren Little,LATAM,Night,2024,3,7,2000,26.0,Post-Suez,23,0.74,Underutilized,494.18812107674495,79.7,499.53,77.7,Jul 2024,2024-07
399,2024-07-12,Container_997,997,Container,272,606,887.8717257907718,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Lauren Little,LATAM,Night,2024,3,7,1990,36.0,Post-Suez,23,0.74,Underutilized,494.18812107674495,79.7,499.53,77.7,Jul 2024,2024-07
256,2022-11-18,Passenger_234,234,Passenger,737,229,768.7055556533724,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",John Juarez,LATAM,Night,2022,4,11,2016,10.0,Post-Suez,35,1.13,Normal,494.18812107674495,55.5,499.53,53.9,Nov 2022,2022-11
35,2021-12-14,Tanker_21,21,Tanker,131,779,885.0168758955735,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Scott Ray,APAC,Night,2021,4,12,2010,16.0,Post-Suez,26,0.84,Normal,509.19575666156277,73.8,499.53,77.2,Dec 2021,2021-12
35,2021-12-14,Tanker_21,21,Tanker,131,779,885.0168758955735,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Scott Ray,APAC,Night,2021,4,12,1961,,Post-Suez,26,0.84,Normal,509.19575666156277,73.8,499.53,77.2,Dec 2021,2021-12
85,2024-03-02,Tanker_443,443,Tanker,371,881,720.0426155098359,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Isaac Moore,EMEA,Night,2024,1,3,1942,,Post-Suez,45,1.45,High Load,495.1797462581356,45.4,499.53,44.1,Mar 2024,2024-03
85,2024-03-02,Tanker_443,443,Tanker,371,881,720.0426155098359,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Isaac Moore,EMEA,Night,2024,1,3,2000,26.0,Post-Suez,45,1.45,High Load,495.1797462581356,45.4,499.53,44.1,Mar 2024,2024-03
162,2024-02-27,Container_857,857,Container,705,272,330.3480902107726,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Mercedes Miller,EMEA,Night,2024,1,2,1908,,Post-Suez,33,1.06,Normal,495.1797462581356,-33.3,499.53,-33.9,Feb 2024,2024-02
787,2024-04-30,Container_442,442,Container,154,105,185.8451195563028,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Andrew Baldwin,EMEA,Day,2024,2,4,1949,,Post-Suez,31,1.0,Normal,495.1797462581356,-62.5,499.53,-62.8,Apr 2024,2024-04
639,2024-01-19,Cargo_431,431,Cargo,708,284,529.7794803939859,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Ryan Williams,LATAM,Day,2024,1,1,1908,,Post-Suez,28,0.9,Normal,494.18812107674495,7.2,499.53,6.1,Jan 2024,2024-01
639,2024-01-19,Cargo_431,431,Cargo,708,284,529.7794803939859,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Ryan Williams,LATAM,Day,2024,1,1,2006,20.0,Post-Suez,28,0.9,Normal,494.18812107674495,7.2,499.53,6.1,Jan 2024,2024-01
433,2022-04-30,Passenger_859_2,859,Passenger,737,757,356.66835416709944,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",John Juarez,LATAM,Day,2022,2,4,1915,,Post-Suez,35,1.13,Normal,494.18812107674495,-27.8,499.53,-28.6,Apr 2022,2022-04
433,2022-04-30,Passenger_859_2,859,Passenger,737,757,356.66835416709944,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",John Juarez,LATAM,Day,2022,2,4,1972,,Post-Suez,35,1.13,Normal,494.18812107674495,-27.8,499.53,-28.6,Apr 2022,2022-04
783,2021-09-30,Container_890,890,Container,45,61,643.4129978790544,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Jason Melton,AMER,Night,2021,3,9,1954,,Post-Suez,28,0.9,Normal,501.3849927507171,28.3,499.53,28.8,Sep 2021,2021-09
160,2022-07-26,Container_343,343,Container,99,289,38.93259211068833,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Kayla Mitchell,APAC,Day,2022,3,7,1956,,Post-Suez,34,1.1,Normal,509.19575666156277,-92.4,499.53,-92.2,Jul 2022,2022-07
211,2021-04-07,Cargo_841,841,Cargo,627,320,712.9820288422992,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Jones,LATAM,Night,2021,2,4,1958,,Suez Disruption,37,1.19,Normal,494.18812107674495,44.3,499.53,42.7,Apr 2021,2021-04
211,2021-04-07,Cargo_841,841,Cargo,627,320,712.9820288422992,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Jones,LATAM,Night,2021,2,4,2019,7.0,Suez Disruption,37,1.19,Normal,494.18812107674495,44.3,499.53,42.7,Apr 2021,2021-04
393,2024-12-22,Cargo_441,441,Cargo,599,16,299.5591769977971,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",John Park,EMEA,Day,2024,4,12,1984,,Post-Suez,33,1.06,Normal,495.1797462581356,-39.5,499.53,-40.0,Dec 2024,2024-12
918,2022-10-13,Container_262,262,Container,110,598,462.2405047020114,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Steven Lynn,EMEA,Day,2022,4,10,1981,,Post-Suez,30,0.97,Normal,495.1797462581356,-6.7,499.53,-7.5,Oct 2022,2022-10
614,2024-12-24,Passenger_58,58,Passenger,369,806,978.6139557672914,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Seth Jackson,APAC,Day,2024,4,12,2005,21.0,Post-Suez,25,0.81,Normal,509.19575666156277,92.2,499.53,95.9,Dec 2024,2024-12
851,2021-09-30,Tanker_808,808,Tanker,371,155,215.5754446105128,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Isaac Moore,EMEA,Night,2021,3,9,1948,,Post-Suez,45,1.45,High Load,495.1797462581356,-56.5,499.53,-56.8,Sep 2021,2021-09
248,2021-12-31,Container_70,70,Container,198,887,117.65558272989551,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Jamie Banks,APAC,Day,2021,4,12,1998,28.0,Post-Suez,43,1.39,High Load,509.19575666156277,-76.9,499.53,-76.4,Dec 2021,2021-12
849,2022-04-11,Container_113,113,Container,803,954,209.8138608357324,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Michael Stewart,EMEA,Day,2022,2,4,1986,,Post-Suez,31,1.0,Normal,495.1797462581356,-57.6,499.53,-58.0,Apr 2022,2022-04
849,2022-04-11,Container_113,113,Container,803,954,209.8138608357324,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Michael Stewart,EMEA,Day,2022,2,4,2001,25.0,Post-Suez,31,1.0,Normal,495.1797462581356,-57.6,499.53,-58.0,Apr 2022,2022-04
72,2021-01-25,Cargo_769,769,Cargo,113,871,351.503525653289,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Todd Hardin,EMEA,Night,2021,1,1,1996,30.0,Pre-Suez,28,0.9,Normal,495.1797462581356,-29.0,499.53,-29.6,Jan 2021,2021-01
227,2022-01-15,Passenger_160,160,Passenger,563,723,536.235289471322,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Deborah Morgan,LATAM,Day,2022,1,1,1940,,Post-Suez,40,1.29,Normal,494.18812107674495,8.5,499.53,7.3,Jan 2022,2022-01
523,2021-08-29,Container_514,51,Container,506,448,980.2262357101552,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Patricia Gallegos,APAC,Night,2021,3,8,1947,,Post-Suez,28,0.9,Normal,509.19575666156277,92.5,499.53,96.2,Aug 2021,2021-08
50,2024-06-01,Tanker_556,556,Tanker,374,204,869.8833829051061,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Diamond Newman,EMEA,Night,2024,2,6,2013,13.0,Post-Suez,31,1.0,Normal,495.1797462581356,75.7,499.53,74.1,Jun 2024,2024-06
859,2022-12-21,Passenger_536,536,Passenger,957,913,714.956445426563,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Sherry Jones,APAC,Night,2022,4,12,1993,33.0,Post-Suez,26,0.84,Normal,509.19575666156277,40.4,499.53,43.1,Dec 2022,2022-12
868,2023-07-25,Tanker_737,737,Tanker,113,531,720.5295448688908,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Todd Hardin,EMEA,Day,2023,3,7,1914,,Post-Suez,28,0.9,Normal,495.1797462581356,45.5,499.53,44.2,Jul 2023,2023-07
868,2023-07-25,Tanker_737,737,Tanker,113,531,720.5295448688908,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Todd Hardin,EMEA,Day,2023,3,7,2005,21.0,Post-Suez,28,0.9,Normal,495.1797462581356,45.5,499.53,44.2,Jul 2023,2023-07
868,2023-07-25,Tanker_737,737,Tanker,113,531,720.5295448688908,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Todd Hardin,EMEA,Day,2023,3,7,2016,10.0,Post-Suez,28,0.9,Normal,495.1797462581356,45.5,499.53,44.2,Jul 2023,2023-07
542,2024-04-08,Container_342,342,Container,506,452,283.78339642606187,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Patricia Gallegos,APAC,Night,2024,2,4,1936,,Post-Suez,28,0.9,Normal,509.19575666156277,-44.3,499.53,-43.2,Apr 2024,2024-04
306,2024-07-30,Cargo_245,245,Cargo,761,391,927.9691405742816,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",David Dixon,LATAM,Night,2024,3,7,1967,,Post-Suez,52,1.68,High Load,494.18812107674495,87.8,499.53,85.8,Jul 2024,2024-07
306,2024-07-30,Cargo_245,245,Cargo,761,391,927.9691405742816,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",David Dixon,LATAM,Night,2024,3,7,1970,,Post-Suez,52,1.68,High Load,494.18812107674495,87.8,499.53,85.8,Jul 2024,2024-07
99,2023-11-22,Tanker_295,295,Tanker,961,218,539.5521608177156,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Luke Jones,APAC,Day,2023,4,11,1939,,Post-Suez,36,1.16,Normal,509.19575666156277,6.0,499.53,8.0,Nov 2023,2023-11
99,2023-11-22,Tanker_295,295,Tanker,961,218,539.5521608177156,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Luke Jones,APAC,Day,2023,4,11,2013,13.0,Post-Suez,36,1.16,Normal,509.19575666156277,6.0,499.53,8.0,Nov 2023,2023-11
619,2022-01-15,Cargo_537,537,Cargo,883,382,162.52061871435853,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Sandra Lopez,LATAM,Day,2022,1,1,1971,,Post-Suez,32,1.03,Normal,494.18812107674495,-67.1,499.53,-67.5,Jan 2022,2022-01
538,2022-06-10,Cargo_302,302,Cargo,803,799,950.3025160361452,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Michael Stewart,EMEA,Day,2022,2,6,1940,,Post-Suez,31,1.0,Normal,495.1797462581356,91.9,499.53,90.2,Jun 2022,2022-06
538,2022-06-10,Cargo_302,302,Cargo,803,799,950.3025160361452,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Michael Stewart,EMEA,Day,2022,2,6,1955,,Post-Suez,31,1.0,Normal,495.1797462581356,91.9,499.53,90.2,Jun 2022,2022-06
760,2024-03-12,Passenger_786,786,Passenger,371,560,506.52591548053925,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Isaac Moore,EMEA,Day,2024,1,3,1939,,Post-Suez,45,1.45,High Load,495.1797462581356,2.3,499.53,1.4,Mar 2024,2024-03
760,2024-03-12,Passenger_786,786,Passenger,371,560,506.52591548053925,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Isaac Moore,EMEA,Day,2024,1,3,1998,28.0,Post-Suez,45,1.45,High Load,495.1797462581356,2.3,499.53,1.4,Mar 2024,2024-03
760,2024-03-12,Passenger_786,786,Passenger,371,560,506.52591548053925,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Isaac Moore,EMEA,Day,2024,1,3,1934,,Post-Suez,45,1.45,High Load,495.1797462581356,2.3,499.53,1.4,Mar 2024,2024-03
603,2022-02-09,Container_497,497,Container,45,395,155.51214631035637,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Jason Melton,AMER,Night,2022,1,2,1975,,Post-Suez,28,0.9,Normal,501.3849927507171,-69.0,499.53,-68.9,Feb 2022,2022-02
128,2024-11-02,Passenger_472,472,Passenger,598,108,735.2321662942979,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Nicole Miller,EMEA,Day,2024,4,11,1934,,Post-Suez,41,1.32,High Load,495.1797462581356,48.5,499.53,47.2,Nov 2024,2024-11
121,2023-06-30,Tanker_331,331,Tanker,761,415,233.79010650932364,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",David Dixon,LATAM,Day,2023,2,6,1992,34.0,Post-Suez,52,1.68,High Load,494.18812107674495,-52.7,499.53,-53.2,Jun 2023,2023-06
781,2021-02-24,Passenger_910,910,Passenger,627,215,187.66693911037103,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Jones,LATAM,Day,2021,1,2,1994,32.0,Pre-Suez,37,1.19,Normal,494.18812107674495,-62.0,499.53,-62.4,Feb 2021,2021-02
159,2024-11-24,Cargo_474,474,Cargo,45,398,267.5914758595364,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Jason Melton,AMER,Day,2024,4,11,1923,,Post-Suez,28,0.9,Normal,501.3849927507171,-46.6,499.53,-46.4,Nov 2024,2024-11
159,2024-11-24,Cargo_474,474,Cargo,45,398,267.5914758595364,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Jason Melton,AMER,Day,2024,4,11,2021,5.0,Post-Suez,28,0.9,Normal,501.3849927507171,-46.6,499.53,-46.4,Nov 2024,2024-11
939,2021-11-21,Tanker_626,626,Tanker,883,149,578.276448121984,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Sandra Lopez,LATAM,Night,2021,4,11,1978,,Post-Suez,32,1.03,Normal,494.18812107674495,17.0,499.53,15.8,Nov 2021,2021-11
106,2022-10-02,Container_130,130,Container,371,948,292.5894596025962,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Isaac Moore,EMEA,Night,2022,4,10,1942,,Post-Suez,45,1.45,High Load,495.1797462581356,-40.9,499.53,-41.4,Oct 2022,2022-10
729,2021-07-28,Passenger_747,747,Passenger,395,174,40.81347376007927,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Shawn Martinez,APAC,Night,2021,3,7,1917,,Post-Suez,32,1.03,Normal,509.19575666156277,-92.0,499.53,-91.8,Jul 2021,2021-07
729,2021-07-28,Passenger_747,747,Passenger,395,174,40.81347376007927,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Shawn Martinez,APAC,Night,2021,3,7,1956,,Post-Suez,32,1.03,Normal,509.19575666156277,-92.0,499.53,-91.8,Jul 2021,2021-07
976,2021-10-10,Passenger_545,545,Passenger,291,124,387.4970545880973,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Ramirez,APAC,Night,2021,4,10,1965,,Post-Suez,29,0.94,Normal,509.19575666156277,-23.9,499.53,-22.4,Oct 2021,2021-10
976,2021-10-10,Passenger_545,545,Passenger,291,124,387.4970545880973,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Ramirez,APAC,Night,2021,4,10,1988,,Post-Suez,29,0.94,Normal,509.19575666156277,-23.9,499.53,-22.4,Oct 2021,2021-10
976,2021-10-10,Passenger_545,545,Passenger,291,124,387.4970545880973,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Ramirez,APAC,Night,2021,4,10,1900,,Post-Suez,29,0.94,Normal,509.19575666156277,-23.9,499.53,-22.4,Oct 2021,2021-10
976,2021-10-10,Passenger_545,545,Passenger,291,124,387.4970545880973,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Matthew Ramirez,APAC,Night,2021,4,10,1935,,Post-Suez,29,0.94,Normal,509.19575666156277,-23.9,499.53,-22.4,Oct 2021,2021-10
441,2021-06-29,Tanker_948,948,Tanker,745,655,234.38760239670583,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Angela Smith,LATAM,Day,2021,2,6,2013,13.0,Post-Suez,31,1.0,Normal,494.18812107674495,-52.6,499.53,-53.1,Jun 2021,2021-06
441,2021-06-29,Tanker_948,948,Tanker,745,655,234.38760239670583,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Angela Smith,LATAM,Day,2021,2,6,1965,,Post-Suez,31,1.0,Normal,494.18812107674495,-52.6,499.53,-53.1,Jun 2021,2021-06
56,2024-05-17,Passenger_634,634,Passenger,930,344,511.44734195469846,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Regina White,EMEA,Day,2024,2,5,2016,10.0,Post-Suez,39,1.26,Normal,495.1797462581356,3.3,499.53,2.4,May 2024,2024-05
56,2024-05-17,Passenger_634,634,Passenger,930,344,511.44734195469846,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}",Regina White,EMEA,Day,2024,2,5,1912,,Post-Suez,39,1.26,Normal,495.1797462581356,3.3,499.53,2.4,May 2024,2024-05
