movement_id,date_id,vessel_key,vessel_id,vessel_category,terminal_id,container_count,move_duration,route_geometry
639,2024-01-19,Cargo_431,431,Cargo,708,284,529.7794803939859,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
433,2022-04-30,Passenger_859_2,859,Passenger,737,757,356.66835416709944,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
783,2021-09-30,Container_890,890,Container,45,61,643.4129978790544,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
160,2022-07-26,Container_343,343,Container,99,289,38.93259211068833,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
211,2021-04-07,Cargo_841,841,Cargo,627,320,712.9820288422992,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
393,2024-12-22,Cargo_441,441,Cargo,599,16,299.5591769977971,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
918,2022-10-13,Container_262,262,Container,110,598,462.2405047020114,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
614,2024-12-24,Passenger_58,58,Passenger,369,806,978.6139557672914,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
851,2021-09-30,Tanker_808,808,Tanker,371,155,215.5754446105128,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
248,2021-12-31,Container_70,70,Container,198,887,117.65558272989551,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
849,2022-04-11,Container_113,113,Container,803,954,209.8138608357324,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
72,2021-01-25,Cargo_769,769,Cargo,113,871,351.503525653289,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
227,2022-01-15,Passenger_160,160,Passenger,563,723,536.235289471322,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
523,2021-08-29,Container_514,51,Container,506,448,980.2262357101552,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
50,2024-06-01,Tanker_556,556,Tanker,374,204,869.8833829051061,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
859,2022-12-21,Passenger_536,536,Passenger,957,913,714.956445426563,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
868,2023-07-25,Tanker_737,737,Tanker,113,531,720.5295448688908,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
542,2024-04-08,Container_342,342,Container,506,452,283.78339642606187,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
306,2024-07-30,Cargo_245,245,Cargo,761,391,927.9691405742816,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
99,2023-11-22,Tanker_295,295,Tanker,961,218,539.5521608177156,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
619,2022-01-15,Cargo_537,537,Cargo,883,382,162.52061871435853,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
538,2022-06-10,Cargo_302,302,Cargo,803,799,950.3025160361452,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
760,2024-03-12,Passenger_786,786,Passenger,371,560,506.52591548053925,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
603,2022-02-09,Container_497,497,Container,45,395,155.51214631035637,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
128,2024-11-02,Passenger_472,472,Passenger,598,108,735.2321662942979,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
121,2023-06-30,Tanker_331,331,Tanker,761,415,233.79010650932364,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
781,2021-02-24,Passenger_910,910,Passenger,627,215,187.66693911037103,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
159,2024-11-24,Cargo_474,474,Cargo,45,398,267.5914758595364,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
939,2021-11-21,Tanker_626,626,Tanker,883,149,578.276448121984,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
106,2022-10-02,Container_130,130,Container,371,948,292.5894596025962,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
729,2021-07-28,Passenger_747,747,Passenger,395,174,40.81347376007927,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
976,2021-10-10,Passenger_545,545,Passenger,291,124,387.4970545880973,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
441,2021-06-29,Tanker_948,948,Tanker,745,655,234.38760239670583,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
56,2024-05-17,Passenger_634,634,Passenger,930,344,511.44734195469846,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
877,2021-07-16,Cargo_919,919,Cargo,189,997,459.5616036748834,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
187,2022-07-23,Cargo_308,308,Cargo,169,404,78.08307491299904,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
527,2023-07-21,Cargo_927,927,Cargo,598,651,245.3140474066024,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
985,2022-04-24,Container_622,622,Container,812,834,281.48427840837496,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
745,2024-10-29,Container_731,731,Container,737,985,484.7366321877346,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
46,2021-02-25,Cargo_995,995,Cargo,599,810,822.2188327381954,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
821,2022-07-25,Cargo_326,326,Cargo,733,577,218.6026985971084,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
161,2021-11-06,Container_113,113,Container,627,815,158.1866718185554,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
750,2022-01-02,Cargo_954,954,Cargo,215,283,1.021577517613781,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
621,2023-09-07,Passenger_379,379,Passenger,563,871,606.50318917313,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
288,2023-04-06,Container_702,702,Container,272,873,325.6398560058338,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
424,2024-09-04,Cargo_505_2,505,Cargo,778,384,670.1553525144845,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
117,2024-01-10,Passenger_849,849,Passenger,350,67,690.1423944245859,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
987,2023-09-17,Tanker_630,630,Tanker,529,685,44.70352436649028,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
238,2024-02-14,Passenger_648,648,Passenger,197,102,418.4116971550834,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
308,2024-07-09,Tanker_519,519,Tanker,328,17,967.9826973607484,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
503,2021-05-08,Tanker_917,917,Tanker,761,948,275.14379708075995,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
673,2021-12-25,Passenger_959,95,Passenger,961,568,529.5504347304534,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
505,2023-10-21,Tanker_412,412,Tanker,737,650,537.8135706371125,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
505,2024-05-10,Passenger_82,82,Passenger,387,881,260.5512573894202,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
583,2023-02-06,Passenger_849,849,Passenger,627,929,779.2563689106838,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
858,2023-12-23,Tanker_891,891,Tanker,197,957,3.682863448861817,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
395,2024-01-01,Container_53_2,53,Container,803,133,226.79050683584688,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
832,2022-12-18,Cargo_652_2,652,Cargo,957,324,592.5272735967901,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
787,2024-04-11,Tanker_533,533,Tanker,425,769,917.293666704228,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
961,2023-05-08,Container_330,330,Container,110,28,9.53115312394026,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
914,2021-03-02,Container_764_2,764,Container,197,235,600.8678616936128,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
798,2022-12-27,Container_42,42,Container,154,515,3.366713024695267,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
246,2024-09-16,Tanker_935,935,Tanker,895,343,622.8174586925861,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
775,2021-09-26,Passenger_358,358,Passenger,705,172,411.5954108978379,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
737,2024-06-04,Tanker_501_2,501,Tanker,425,899,434.4542985291705,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
289,2024-12-09,Passenger_837,837,Passenger,154,448,967.509624006101,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
678,2024-03-17,Passenger_887,887,Passenger,529,411,682.2463436546902,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
253,2022-01-29,Passenger_293,293,Passenger,291,658,196.414632682566,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
523,2023-02-22,Passenger_239,239,Passenger,131,671,997.3372148340608,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
797,2024-06-07,Container_473,473,Container,895,493,256.6777318653548,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
188,2023-02-08,Passenger_956,956,Passenger,629,888,685.9068226598829,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
337,2022-04-25,Passenger_118_2,118,Passenger,895,296,680.2949954461416,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
796,2023-06-24,Cargo_106,106,Cargo,812,871,849.725017388249,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
454,2021-03-06,Tanker_301_2,301,Tanker,197,869,398.8668752400705,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
961,2022-02-21,Container_764_2,764,Container,197,8,695.9645131253709,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
7,2022-03-30,Passenger_379,379,Passenger,930,755,625.941073879665,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
722,2022-11-10,Cargo_31,31,Cargo,728,158,436.4199510351299,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
815,2021-07-18,Passenger_892,892,Passenger,197,486,915.9574224045834,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
918,2024-06-13,Tanker_556,556,Tanker,598,919,251.92959335424447,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
156,2022-07-26,Cargo_25,25,Cargo,387,195,224.2735763327436,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
985,2022-09-20,Tanker_474,474,Tanker,961,562,630.3882552050642,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
392,2022-02-21,Tanker_917,917,Tanker,728,778,190.2666382783705,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
352,2023-09-27,Cargo_964,964,Cargo,371,480,829.9948068065568,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
355,2023-12-12,Passenger_447,447,Passenger,728,78,339.6752561183899,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
638,2021-02-17,Tanker_188,188,Tanker,563,65,421.09947518168775,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
659,2024-04-06,Container_128,128,Container,883,518,682.3158575917722,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
474,2024-04-29,Tanker_840_2,840,Tanker,598,25,885.1016930006729,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
71,2023-02-28,Cargo_636,636,Cargo,189,15,689.9674808236965,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
987,2023-05-20,Container_383,383,Container,131,954,94.205224971611,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
222,2023-11-18,Cargo_611,611,Cargo,215,533,338.0609875125193,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
93,2023-01-22,Cargo_817_2,817,Cargo,532,474,750.0629157335212,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
597,2021-01-16,Tanker_710_2,710,Tanker,761,100,907.7506423605726,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
412,2024-02-08,Cargo_302,302,Cargo,198,787,633.8271180270821,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
616,2024-10-31,Cargo_717,717,Cargo,198,510,596.155029379775,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
876,2022-08-08,Container_106,106,Container,563,220,379.2195578101073,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
97,2023-07-05,Tanker_418,418,Tanker,748,753,478.0516597150933,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
284,2022-12-16,Container_297,297,Container,748,237,432.2275467369853,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
517,2022-01-26,Cargo_868,86,Cargo,598,503,55.17647655295532,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
788,2021-11-10,Cargo_254,254,Cargo,629,560,21.8528869033392,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
601,2023-12-18,Container_614,614,Container,708,279,617.403834236485,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
383,2022-06-12,Passenger_783,783,Passenger,374,876,509.8387837552275,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
610,2024-03-14,Passenger_690,690,Passenger,169,704,244.89080376863305,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
980,2021-04-30,Container_768,768,Container,198,288,892.750963066915,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
480,2023-11-28,Cargo_769,769,Cargo,895,156,206.594900032582,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
884,2023-03-25,Tanker_189,189,Tanker,748,329,700.49882548795,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
780,2023-07-16,Container_130,130,Container,169,465,788.3629109854435,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
301,2024-08-01,Tanker_433,433,Tanker,371,551,840.2269752712259,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
249,2024-06-07,Cargo_505_2,50,Cargo,627,400,839.529938539704,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
770,2023-11-26,Container_297,297,Container,425,40,794.1817554979856,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
207,2023-05-17,Tanker_143,143,Tanker,529,676,457.8001731969722,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
337,2024-04-20,Passenger_566,566,Passenger,113,379,623.91155996399,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
235,2022-07-02,Cargo_278,278,Cargo,728,335,857.7113789533646,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
606,2024-08-29,Cargo_549,549,Cargo,737,556,420.2893832011703,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
294,2023-07-27,Cargo_527,527,Cargo,629,836,670.8549752865716,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
659,2023-09-21,Cargo_169,169,Cargo,272,4,159.53633095638875,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
935,2024-12-21,Tanker_323,323,Tanker,425,961,564.6926115546486,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
830,2021-01-07,Tanker_556,556,Tanker,598,638,141.04590327217892,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
948,2024-10-21,Cargo_805,805,Cargo,460,547,660.290993075945,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
24,2022-03-08,Container_477,477,Container,506,51,376.8309532393487,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
455,2024-01-02,Cargo_136,136,Cargo,599,711,227.8429343416892,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
220,2023-11-16,Container_759,759,Container,563,720,360.7432475177496,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
918,2021-09-08,Container_779,779,Container,154,560,701.4171225840013,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
712,2021-03-12,Cargo_432,432,Cargo,745,802,908.0334240923946,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
320,2023-02-08,Container_439,439,Container,490,839,11.280948695762682,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
564,2022-05-27,Container_282,282,Container,425,839,167.84794688345818,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
606,2024-09-15,Container_482,482,Container,110,327,705.7333402691236,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
496,2021-11-21,Container_926,92,Container,395,674,568.734861735542,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
474,2023-10-07,Tanker_351,351,Tanker,748,57,319.1830474613852,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
55,2021-01-18,Passenger_208,208,Passenger,131,562,651.7632530701277,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
452,2022-03-20,Passenger_364,36,Passenger,563,146,867.1875626364508,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
348,2021-08-04,Tanker_626,626,Tanker,883,307,257.9786725312,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
819,2024-12-06,Passenger_94_2,94,Passenger,708,677,485.6721773074924,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
865,2024-05-02,Container_614,614,Container,812,425,20.76734129706437,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
751,2024-05-23,Cargo_594,594,Cargo,198,864,945.9959795442032,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
30,2024-06-27,Tanker_137,137,Tanker,529,87,801.643732725707,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
842,2024-02-28,Cargo_496,496,Cargo,272,972,505.09053683800266,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
396,2021-12-22,Cargo_441,441,Cargo,395,707,991.9979909349491,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
416,2021-11-22,Tanker_710_2,710,Tanker,708,430,220.2186294839381,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
946,2021-08-20,Cargo_354,354,Cargo,371,24,743.9705489859431,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
868,2022-04-28,Tanker_825,825,Tanker,733,41,769.5065654298432,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
50,2022-08-03,Container_253,253,Container,113,413,830.8558121759482,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
360,2023-12-06,Tanker_171,171,Tanker,490,573,685.0963035834999,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
750,2024-02-13,Passenger_232_2,232,Passenger,563,506,190.5906024912969,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
539,2021-07-19,Container_598,598,Container,371,297,91.33411951104786,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
257,2022-10-20,Tanker_981,981,Tanker,374,650,180.3572078627596,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
525,2021-10-21,Container_598,598,Container,350,614,858.3185223156769,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
867,2022-06-10,Tanker_476,476,Tanker,745,343,401.9951032772131,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
223,2023-09-15,Passenger_22_2,22,Passenger,733,325,546.1660888995041,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
